"Employed Persons by Major Occupation, by Region, by Sex: 2018 to 2021"

"Geolocation","Major Occupation","2018 January Male","2018 January Female","2018 April Male","2018 April Female","2018 July Male","2018 July Female","2018 October Male","2018 October Female","2018 Annual Male","2018 Annual Female","2018 February Male","2018 February Female","2018 March Male","2018 March Female","2018 May Male","2018 May Female","2018 June Male","2018 June Female","2018 August Male","2018 August Female","2018 September Male","2018 September Female","2018 November Male","2018 November Female","2018 December Male","2018 December Female","2019 January Male","2019 January Female","2019 April Male","2019 April Female","2019 July Male","2019 July Female","2019 October Male","2019 October Female","2019 Annual Male","2019 Annual Female","2019 February Male","2019 February Female","2019 March Male","2019 March Female","2019 May Male","2019 May Female","2019 June Male","2019 June Female","2019 August Male","2019 August Female","2019 September Male","2019 September Female","2019 November Male","2019 November Female","2019 December Male","2019 December Female","2020 January Male","2020 January Female","2020 April Male","2020 April Female","2020 July Male","2020 July Female","2020 October Male","2020 October Female","2020 Annual Male","2020 Annual Female","2020 February Male","2020 February Female","2020 March Male","2020 March Female","2020 May Male","2020 May Female","2020 June Male","2020 June Female","2020 August Male","2020 August Female","2020 September Male","2020 September Female","2020 November Male","2020 November Female","2020 December Male","2020 December Female","2021 January Male","2021 January Female","2021 April Male","2021 April Female","2021 July Male","2021 July Female","2021 October Male","2021 October Female","2021 Annual Male","2021 Annual Female","2021 February Male","2021 February Female","2021 March Male","2021 March Female","2021 May Male","2021 May Female","2021 June Male","2021 June Female","2021 August Male","2021 August Female","2021 September Male","2021 September Female","2021 November Male","2021 November Female","2021 December Male","2021 December Female"
"PHILIPPINES","Managers",3244.009,3541.049,3093.180,3447.790,2953.884,3474.612,3186.420,3411.726,3119.373,3468.794,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2509.494,2570.649,2259.390,2315.752,2266.156,2379.326,2463.003,2335.801,2374.511,2400.382,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2021.417,1958.135,1564.417,1572.074,1521.456,2018.656,1585.556,1984.356,1673.212,1883.305,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1607.447,150.805,1637.355,1914.200,1540.832,1946.096,1656.839,1913.872,1549.477,1747.631,1769.809,2032.485,1655.259,1854.900,1606.009,1902.754,1548.065,1553.296,1545.165,1765.796,1295.256,1754.707,1675.830,1570.561,1055.854,788.437
"PHILIPPINES","Professionals",808.350,1394.646,828.457,1370.048,778.785,1463.795,830.533,1495.911,811.531,1431.100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,798.500,1505.728,798.076,1463.681,802.076,1506.286,932.195,1643.710,832.712,1529.851,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,857.402,1599.581,687.562,1281.024,754.943,1331.780,861.184,1528.792,790.273,1435.294,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,802.404,129.733,855.428,1661.170,781.965,1503.514,875.022,1581.980,842.155,1601.463,955.639,1753.121,811.481,1466.293,869.402,1773.450,782.403,1761.261,805.840,1235.408,810.259,1454.679,921.547,1833.471,834.477,1677.566
"PHILIPPINES","Technicians and Associate Professionals",807.865,727.165,882.455,799.696,916.109,873.420,829.729,813.605,859.040,803.472,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,926.191,876.399,894.871,880.186,869.239,930.742,837.337,858.658,881.910,886.496,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,796.516,814.814,624.186,693.953,678.736,713.670,839.554,772.699,734.748,748.784,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,814.813,60.567,865.463,746.023,982.690,926.226,918.525,904.134,853.750,814.259,846.243,775.083,781.290,808.750,840.948,724.602,891.606,788.750,715.896,897.911,819.012,688.582,911.037,899.234,857.480,941.969
"PHILIPPINES","Clerical Support Workers",915.972,1430.902,939.934,1464.776,966.424,1364.978,1054.992,1418.932,969.331,1419.897,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1050.768,1512.778,1057.896,1532.093,1037.447,1481.967,1153.610,1636.168,1074.930,1540.752,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1133.129,1711.804,875.448,1291.132,949.064,1424.019,1049.545,1434.522,1001.797,1465.369,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1101.626,127.650,1194.416,1504.852,1167.924,1644.130,1209.404,1775.300,1176.862,1675.942,1048.520,1458.520,1123.223,1561.169,1065.877,1563.788,1123.189,1673.830,1122.985,1795.191,1241.779,1836.890,1416.957,1645.740,1306.441,1969.136
"PHILIPPINES","Service and Sales Workers",2889.855,3265.865,2812.570,3243.550,2826.910,3295.546,2875.541,3474.015,2851.219,3319.744,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2917.671,4232.348,3257.972,4585.846,3374.615,4710.062,3333.190,4627.816,3220.862,4539.018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3412.029,5053.162,2805.650,3429.843,3041.511,4821.138,3178.659,4634.494,3109.462,4484.659,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3303.103,407.550,3416.805,5576.462,3311.573,4992.064,3465.662,5187.846,3472.131,5566.514,3495.808,5356.237,3579.548,5818.118,3479.837,5748.711,3693.635,5963.519,3336.237,5495.375,3176.499,5481.377,3551.249,5134.454,3855.617,6516.319
"PHILIPPINES","Skilled Agricultural Forestry and Fishery Workers",4506.360,970.830,4234.289,860.640,3983.794,819.147,4166.409,843.326,4222.713,873.486,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3670.913,791.260,3992.911,840.230,4159.105,823.508,4078.728,904.711,3975.414,839.927,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4000.127,854.555,3985.013,776.807,4710.911,1070.519,4651.418,988.498,4336.867,922.595,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4479.236,81.883,4359.605,983.234,3856.112,853.335,4522.502,991.361,4464.445,990.753,4471.158,998.687,4577.659,982.792,4170.253,990.704,4530.775,1016.905,4682.552,1013.412,4350.293,992.131,4580.855,1536.970,4992.341,1150.298
"PHILIPPINES","Craft and Related Trades Workers",2548.631,417.556,2888.879,518.554,2840.803,498.019,2773.997,435.056,2763.078,467.296,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2941.874,493.248,2889.548,507.589,2813.962,498.443,2829.249,456.040,2868.658,488.830,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2757.529,498.593,1829.196,338.046,2571.735,416.983,2487.249,414.663,2411.427,417.071,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2543.990,35.703,2510.385,443.126,2686.902,542.644,2663.951,456.660,2621.298,482.931,2455.305,458.933,2793.251,428.587,2553.924,518.944,2524.307,414.521,2622.357,570.327,2779.400,529.722,2639.898,600.267,2681.901,592.615
"PHILIPPINES","Plant and Machine Operators and Assemblers",2378.154,277.367,2312.611,245.822,2347.650,290.580,2348.531,291.953,2346.737,276.431,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2807.465,358.896,3134.693,310.789,2809.646,327.183,3070.417,356.901,2955.555,338.442,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3109.842,338.640,2303.875,316.932,2964.335,334.601,2885.059,246.398,2815.778,309.143,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2983.103,26.119,2849.637,311.019,2989.086,317.937,2824.035,259.479,2977.503,303.837,3079.004,216.715,3009.534,484.853,3059.866,373.531,2824.628,367.595,3072.745,590.425,3220.932,251.889,2769.729,593.382,3047.741,206.805
"PHILIPPINES","Elementary Occupations",7570.992,3965.169,7237.707,3635.600,7357.368,3481.280,7399.804,3590.215,7391.468,3668.066,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7416.684,3459.776,7314.813,3650.065,7687.409,3936.297,7304.425,3645.625,7430.833,3672.941,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7675.650,3847.646,6197.098,3184.592,7894.629,3945.830,7081.403,3124.647,7212.195,3525.679,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7606.276,306.410,8044.042,4296.124,8056.212,3487.152,8204.747,4211.851,8326.340,4431.895,7841.643,4061.440,8616.423,4873.628,8713.610,4643.719,8772.099,4728.097,8527.687,4379.661,8484.496,4374.626,8553.933,4074.060,8494.912,5217.773
"PHILIPPINES","Armed Forces Occupations",90.017,4.281,77.117,2.704,109.681,6.926,82.470,1.858,89.821,3.942,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.568,2.500,78.075,5.453,102.119,5.081,68.711,0.635,82.368,3.417,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.066,6.314,71.488,1.874,120.480,16.659,85.230,2.644,93.316,6.873,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.007,0.640,93.836,5.788,79.441,5.148,81.804,116.579,83.151,5.955,74.044,5.076,96.541,8.252,109.197,7.774,110.813,6.341,54.341,1.732,46.710,3.688,84.489,480.623,85.592,1.196
