Geolocation,Major Occupation,year,quarter,Female,Male
PHILIPPINES,Service and Sales Workers,2021,Q2,5762.897333333334,3530.0923333333335
PHILIPPINES,Service and Sales Workers,2021,Q4,5612.873,3624.176
PHILIPPINES,Service and Sales Workers,2021,Q3,5322.938666666667,3274.7696666666666
PHILIPPINES,Service and Sales Workers,2020,Q1,5053.162,3412.029
PHILIPPINES,Service and Sales Workers,2020,Q3,4821.138,3041.511
PHILIPPINES,Service and Sales Workers,2019,Q3,4710.062,3374.615
PHILIPPINES,Service and Sales Workers,2020,Q4,4634.494,3178.659
PHILIPPINES,Service and Sales Workers,2019,Q4,4627.816,3333.19
PHILIPPINES,Service and Sales Workers,2019,Q2,4585.846,3257.972
PHILIPPINES,Elementary Occupations,2021,Q2,4555.98,8509.917000000001
PHILIPPINES,Elementary Occupations,2021,Q4,4501.228,8417.864
PHILIPPINES,Service and Sales Workers,2019,Q1,4232.348,2917.671
PHILIPPINES,Elementary Occupations,2021,Q3,4080.4796666666666,8356.131666666666
PHILIPPINES,Elementary Occupations,2018,Q1,3965.169,7570.992
PHILIPPINES,Elementary Occupations,2020,Q3,3945.83,7894.629
PHILIPPINES,Elementary Occupations,2019,Q3,3936.297,7687.409
PHILIPPINES,Service and Sales Workers,2021,Q1,3860.635,3459.486333333333
PHILIPPINES,Elementary Occupations,2020,Q1,3847.646,7675.65
PHILIPPINES,Elementary Occupations,2019,Q2,3650.065,7314.813
PHILIPPINES,Elementary Occupations,2019,Q4,3645.625,7304.425
PHILIPPINES,Elementary Occupations,2018,Q2,3635.6,7237.707
PHILIPPINES,Elementary Occupations,2018,Q4,3590.215,7399.804
PHILIPPINES,Managers,2018,Q1,3541.049,3244.009
PHILIPPINES,Elementary Occupations,2018,Q3,3481.28,7357.368
PHILIPPINES,Managers,2018,Q3,3474.612,2953.884
PHILIPPINES,Service and Sales Workers,2018,Q4,3474.015,2875.541
PHILIPPINES,Elementary Occupations,2019,Q1,3459.776,7416.684
PHILIPPINES,Managers,2018,Q2,3447.79,3093.18
PHILIPPINES,Service and Sales Workers,2020,Q2,3429.843,2805.65
PHILIPPINES,Managers,2018,Q4,3411.726,3186.42
PHILIPPINES,Service and Sales Workers,2018,Q3,3295.546,2826.91
PHILIPPINES,Service and Sales Workers,2018,Q1,3265.865,2889.855
PHILIPPINES,Service and Sales Workers,2018,Q2,3243.55,2812.57
PHILIPPINES,Elementary Occupations,2020,Q2,3184.592,6197.098
PHILIPPINES,Elementary Occupations,2020,Q4,3124.647,7081.403
PHILIPPINES,Elementary Occupations,2021,Q1,3080.4926666666665,8021.4473333333335
PHILIPPINES,Managers,2019,Q1,2570.649,2509.494
PHILIPPINES,Managers,2019,Q3,2379.326,2266.156
PHILIPPINES,Managers,2019,Q4,2335.801,2463.003
PHILIPPINES,Managers,2019,Q2,2315.752,2259.39
PHILIPPINES,Managers,2020,Q3,2018.656,1521.456
PHILIPPINES,Managers,2020,Q4,1984.356,1585.556
PHILIPPINES,Managers,2020,Q1,1958.135,2021.417
PHILIPPINES,Managers,2021,Q3,1822.1996666666666,1460.417666666667
PHILIPPINES,Clerical Support Workers,2021,Q4,1796.725333333333,1310.934
PHILIPPINES,Managers,2021,Q2,1790.0833333333333,1597.143
PHILIPPINES,Clerical Support Workers,2021,Q3,1758.737,1177.5626666666667
PHILIPPINES,Professionals,2021,Q2,1731.9603333333334,835.7443333333334
PHILIPPINES,Clerical Support Workers,2020,Q1,1711.804,1133.129
PHILIPPINES,Professionals,2021,Q4,1697.6723333333332,877.0153333333334
PHILIPPINES,Professionals,2019,Q4,1643.71,932.195
PHILIPPINES,Clerical Support Workers,2019,Q4,1636.168,1153.61
PHILIPPINES,Professionals,2020,Q1,1599.581,857.402
PHILIPPINES,Clerical Support Workers,2021,Q2,1580.8233333333335,1127.8273333333334
PHILIPPINES,Managers,2020,Q2,1572.074,1564.417
PHILIPPINES,Clerical Support Workers,2019,Q2,1532.093,1057.896
PHILIPPINES,Professionals,2020,Q4,1528.792,861.184
PHILIPPINES,Clerical Support Workers,2019,Q1,1512.778,1050.768
PHILIPPINES,Professionals,2019,Q3,1506.286,802.076
PHILIPPINES,Professionals,2019,Q1,1505.728,798.5
PHILIPPINES,Professionals,2018,Q4,1495.911,830.533
PHILIPPINES,Clerical Support Workers,2019,Q3,1481.967,1037.447
PHILIPPINES,Clerical Support Workers,2018,Q2,1464.776,939.934
PHILIPPINES,Professionals,2018,Q3,1463.795,778.785
